Date ,Prev.Close,Close
07-Jun-2022,1530.05,1506.7
03-Jun-2022,1508,1521.7
02-Jun-2022,1478.55,1508
01-Jun-2022,1503.6,1478.55
31-May-2022,1526.8,1503.6
30-May-2022,1461.35,1526.8
27-May-2022,1423.95,1461.35
26-May-2022,1410.45,1423.95
25-May-2022,1441,1410.45
24-May-2022,1468.4,1441
23-May-2022,1455.15,1468.4
20-May-2022,1427.15,1455.15
19-May-2022,1509.2,1427.15
18-May-2022,1518.45,1509.2
17-May-2022,1489.1,1518.45
16-May-2022,1504.4,1489.1
13-May-2022,1508.8,1504.4
12-May-2022,1526.75,1508.8
11-May-2022,1553,1526.75
10-May-2022,1570.35,1553
09-May-2022,1542.85,1570.35